Wed Jun  2 11:05:12 EDT 1993
Astronomical silicate                   
Computed by B.T.Draine (cf Laor, A., & Draine, B.T. 1993, ApJ 402,441)
  21 1.000E-03 1.000E+01 = NRAD, a_1 (micron), a_NRAD (micron)
 241 1.000E+03 1.000E-03 = NWAV, w_1 (micron), w_NWAV (micron)

1.000E-03 = radius(micron) Astronomical silicate                   
w(micron)  Q_abs     Q_sca     g=<cos>
3.162E+01 2.536E-04 1.547E-14  0.00E+00
2.985E+01 2.864E-04 1.935E-14  0.00E+00
2.818E+01 3.229E-04 2.411E-14  0.00E+00
2.661E+01 3.650E-04 3.005E-14  0.00E+00
2.512E+01 4.137E-04 3.749E-14  0.00E+00
2.371E+01 4.677E-04 4.633E-14  0.00E+00
2.239E+01 5.309E-04 5.727E-14  0.00E+00
2.113E+01 6.042E-04 6.980E-14  0.00E+00
1.995E+01 6.914E-04 8.413E-14  0.00E+00
1.884E+01 7.688E-04 9.403E-14  0.00E+00
1.778E+01 7.720E-04 9.659E-14  0.00E+00
1.679E+01 7.025E-04 9.770E-14  0.00E+00
1.585E+01 6.007E-04 1.064E-13  0.00E+00
1.496E+01 5.095E-04 1.320E-13  0.00E+00
1.413E+01 4.588E-04 1.895E-13  0.00E+00
1.334E+01 5.482E-04 2.922E-13  0.00E+00
1.259E+01 7.239E-04 4.210E-13  0.00E+00
1.189E+01 9.619E-04 5.808E-13  0.00E+00
1.122E+01 1.250E-03 7.693E-13  0.00E+00
1.059E+01 1.651E-03 1.015E-12  0.00E+00
1.000E+01 2.005E-03 1.133E-12  0.00E+00
9.441E+00 1.723E-03 1.021E-12  3.34E-07
8.913E+00 1.427E-03 5.543E-13  3.75E-07
8.414E+00 9.918E-04 3.020E-13  4.20E-07
7.943E+00 4.743E-04 1.604E-13  4.71E-07
7.499E+00 2.093E-04 3.703E-13  5.29E-07
7.079E+00 1.643E-04 7.822E-13  5.94E-07
6.683E+00 1.627E-04 1.278E-12  6.66E-07
6.310E+00 1.619E-04 1.884E-12  7.47E-07
5.957E+00 1.584E-04 2.655E-12  8.38E-07
5.623E+00 1.560E-04 3.644E-12  9.41E-07
5.309E+00 1.646E-04 3.648E-12  7.24E-07
5.012E+00 1.667E-04 4.806E-12  8.19E-07
4.732E+00 1.708E-04 6.270E-12  9.25E-07
4.467E+00 1.762E-04 8.126E-12  1.04E-06
4.217E+00 1.828E-04 1.047E-11  1.18E-06
3.981E+00 1.894E-04 1.343E-11  1.32E-06
3.758E+00 1.961E-04 1.717E-11  1.49E-06
3.548E+00 2.032E-04 2.189E-11  1.68E-06
3.350E+00 2.104E-04 2.783E-11  1.89E-06
3.162E+00 2.169E-04 3.535E-11  2.12E-06
2.985E+00 2.242E-04 4.485E-11  2.38E-06
2.818E+00 2.323E-04 5.685E-11  2.68E-06
2.661E+00 2.411E-04 7.199E-11  3.01E-06
2.512E+00 2.505E-04 9.106E-11  3.38E-06
2.371E+00 2.609E-04 1.151E-10  3.79E-06
2.239E+00 2.718E-04 1.454E-10  4.26E-06
2.113E+00 2.835E-04 1.835E-10  4.78E-06
1.995E+00 2.960E-04 2.315E-10  5.37E-06
1.884E+00 3.092E-04 2.920E-10  6.02E-06
1.778E+00 3.235E-04 3.683E-10  6.76E-06
1.679E+00 3.392E-04 4.642E-10  7.59E-06
1.585E+00 3.564E-04 5.847E-10  8.51E-06
1.496E+00 3.744E-04 7.364E-10  9.55E-06
1.413E+00 3.933E-04 9.275E-10  1.07E-05
1.334E+00 4.132E-04 1.168E-09  1.20E-05
1.259E+00 4.343E-04 1.471E-09  1.35E-05
1.189E+00 4.579E-04 1.852E-09  1.51E-05
1.122E+00 4.831E-04 2.333E-09  1.70E-05
1.059E+00 5.097E-04 2.937E-09  1.91E-05
1.000E+00 5.380E-04 3.697E-09  2.14E-05
9.441E-01 5.682E-04 4.654E-09  2.40E-05
8.913E-01 6.001E-04 5.859E-09  2.69E-05
8.414E-01 6.336E-04 7.378E-09  3.02E-05
7.943E-01 6.688E-04 9.294E-09  3.39E-05
7.499E-01 7.058E-04 1.171E-08  3.81E-05
7.079E-01 7.448E-04 1.476E-08  4.27E-05
6.683E-01 7.861E-04 1.860E-08  4.79E-05
6.310E-01 8.300E-04 2.346E-08  5.38E-05
5.957E-01 8.765E-04 2.960E-08  6.04E-05
5.623E-01 9.255E-04 3.736E-08  6.78E-05
5.309E-01 9.773E-04 4.719E-08  7.62E-05
5.012E-01 1.032E-03 5.963E-08  8.55E-05
4.732E-01 1.089E-03 7.541E-08  9.60E-05
4.467E-01 1.149E-03 9.545E-08  1.08E-04
4.217E-01 1.212E-03 1.210E-07  1.21E-04
3.981E-01 1.278E-03 1.535E-07  1.36E-04
3.758E-01 1.344E-03 1.950E-07  1.53E-04
3.548E-01 1.413E-03 2.483E-07  1.72E-04
3.350E-01 1.484E-03 3.166E-07  1.94E-04
3.162E-01 1.556E-03 4.047E-07  2.18E-04
2.985E-01 1.627E-03 5.189E-07  2.46E-04
2.818E-01 1.699E-03 6.675E-07  2.77E-04
2.661E-01 1.767E-03 8.627E-07  3.13E-04
2.512E-01 1.830E-03 1.121E-06  3.54E-04
2.371E-01 1.800E-03 1.469E-06  4.02E-04
2.239E-01 1.972E-03 1.956E-06  4.58E-04
2.113E-01 2.837E-03 2.624E-06  5.23E-04
1.995E-01 4.023E-03 3.528E-06  5.98E-04
1.884E-01 5.945E-03 4.814E-06  6.88E-04
1.778E-01 9.193E-03 6.603E-06  7.94E-04
1.679E-01 1.339E-02 9.134E-06  9.18E-04
1.585E-01 1.932E-02 1.314E-05  1.08E-03
1.496E-01 3.899E-02 2.022E-05  1.22E-03
1.413E-01 7.028E-02 2.283E-05  1.10E-03
1.334E-01 6.674E-02 2.672E-05  1.26E-03
1.259E-01 7.398E-02 3.384E-05  1.39E-03
1.189E-01 9.283E-02 4.626E-05  1.48E-03
1.122E-01 1.081E-01 5.891E-05  1.59E-03
1.059E-01 1.330E-01 8.474E-05  1.68E-03
1.000E-01 1.712E-01 1.133E-04  1.68E-03
9.441E-02 2.050E-01 1.454E-04  1.75E-03
8.913E-02 2.317E-01 1.683E-04  1.88E-03
8.414E-02 2.507E-01 2.166E-04  2.08E-03
7.943E-02 2.997E-01 3.018E-04  2.19E-03
7.499E-02 3.574E-01 4.127E-04  2.30E-03
7.079E-02 3.943E-01 5.165E-04  2.52E-03
6.683E-02 4.012E-01 6.049E-04  2.82E-03
6.310E-02 3.369E-01 5.799E-04  3.25E-03
5.957E-02 2.097E-01 3.534E-04  3.86E-03
5.623E-02 1.678E-01 2.252E-04  4.54E-03
5.309E-02 1.571E-01 2.065E-04  5.18E-03
5.012E-02 1.500E-01 2.027E-04  5.89E-03
4.732E-02 1.446E-01 2.071E-04  6.67E-03
4.467E-02 1.399E-01 2.161E-04  7.54E-03
4.217E-02 1.354E-01 2.280E-04  8.51E-03
3.981E-02 1.308E-01 2.418E-04  9.59E-03
3.758E-02 1.261E-01 2.566E-04  1.08E-02
3.548E-02 1.211E-01 2.720E-04  1.22E-02
3.350E-02 1.159E-01 2.874E-04  1.37E-02
3.162E-02 1.103E-01 3.021E-04  1.54E-02
2.985E-02 1.047E-01 3.161E-04  1.74E-02
2.818E-02 9.877E-02 3.282E-04  1.96E-02
2.661E-02 9.291E-02 3.385E-04  2.20E-02
2.512E-02 8.693E-02 3.452E-04  2.48E-02
2.371E-02 8.097E-02 3.459E-04  2.79E-02
2.239E-02 7.818E-02 3.564E-04  3.15E-02
2.113E-02 7.398E-02 3.658E-04  3.54E-02
1.995E-02 6.992E-02 3.640E-04  3.99E-02
1.884E-02 7.237E-02 3.961E-04  4.49E-02
1.778E-02 6.816E-02 4.276E-04  5.05E-02
1.679E-02 6.427E-02 4.432E-04  5.69E-02
1.585E-02 6.060E-02 4.535E-04  6.40E-02
1.496E-02 5.704E-02 4.606E-04  7.21E-02
1.413E-02 5.349E-02 4.601E-04  8.12E-02
1.334E-02 5.259E-02 4.586E-04  9.15E-02
1.259E-02 5.125E-02 4.894E-04  1.03E-01
1.189E-02 4.763E-02 5.020E-04  1.16E-01
1.122E-02 4.402E-02 4.695E-04  1.31E-01
1.059E-02 5.316E-02 4.940E-04  1.47E-01
1.000E-02 4.941E-02 6.054E-04  1.66E-01
9.441E-03 4.556E-02 6.330E-04  1.87E-01
8.913E-03 4.183E-02 6.363E-04  2.10E-01
8.414E-03 3.825E-02 6.268E-04  2.36E-01
7.943E-03 3.487E-02 6.066E-04  2.65E-01
7.499E-03 3.172E-02 5.650E-04  2.97E-01
7.079E-03 3.148E-02 5.848E-04  3.33E-01
6.683E-03 2.858E-02 5.681E-04  3.72E-01
6.310E-03 2.588E-02 5.414E-04  4.14E-01
5.957E-03 2.342E-02 5.107E-04  4.59E-01
5.623E-03 2.109E-02 4.768E-04  5.06E-01
5.309E-03 1.898E-02 4.417E-04  5.54E-01
5.012E-03 1.707E-02 4.072E-04  6.01E-01
4.732E-03 1.531E-02 3.740E-04  6.45E-01
4.467E-03 1.371E-02 3.425E-04  6.86E-01
4.217E-03 1.225E-02 3.131E-04  7.20E-01
3.981E-03 1.093E-02 2.860E-04  7.47E-01
3.758E-03 9.726E-03 2.608E-04  7.67E-01
3.548E-03 8.635E-03 2.370E-04  7.82E-01
3.350E-03 7.649E-03 2.145E-04  7.94E-01
3.162E-03 6.766E-03 1.929E-04  8.07E-01
2.985E-03 5.986E-03 1.726E-04  8.21E-01
2.818E-03 5.255E-03 1.513E-04  8.38E-01
2.661E-03 4.585E-03 1.303E-04  8.55E-01
2.512E-03 4.013E-03 1.069E-04  8.72E-01
2.371E-03 3.509E-03 6.360E-05  8.85E-01
2.239E-03 8.310E-03 9.264E-05  8.94E-01
